team,champion_pct,final_pct,semi_final_pct,quarter_final_pct
Spain,13.1,23.9,37.6,52.3
Argentina,11.1,17.8,29.9,45.8
England,9.7,16.2,26.0,43.8
Portugal,9.3,17.4,31.1,50.7
Morocco,8.2,14.8,24.9,41.6
France,7.5,14.1,28.0,44.0
Belgium,7.3,14.8,27.1,48.5
Germany,5.9,11.7,22.2,38.0
Brazil,5.7,10.0,19.0,36.1
Mexico,4.5,9.8,19.3,39.5
Netherlands,4.0,8.1,16.1,32.9
Japan,1.9,4.9,10.7,22.0
Turkey,1.7,3.7,9.5,23.4
Senegal,1.3,3.0,6.8,15.5
Colombia,1.2,3.9,8.8,21.6
Iran,1.1,3.6,11.4,26.4
Austria,0.9,2.1,5.5,12.2
Ecuador,0.9,2.1,5.3,15.4
Egypt,0.8,2.5,7.8,20.1
Norway,0.6,1.9,4.0,12.9
Switzerland,0.6,2.3,6.9,20.3
Canada,0.6,2.3,8.2,21.6
Uruguay,0.5,1.2,4.0,12.3
Croatia,0.4,1.9,6.0,14.6
Algeria,0.4,1.5,5.5,13.2
United States,0.2,1.2,4.3,14.0
South Korea,0.2,1.2,3.3,13.5
Ivory Coast,0.2,1.0,3.6,11.8
Australia,0.2,0.6,2.7,9.9
Scotland,0.0,0.0,0.6,2.7
Iraq,0.0,0.0,0.0,0.4
Uzbekistan,0.0,0.1,0.6,2.7
Czech Republic,0.0,0.1,0.5,3.9
Paraguay,0.0,0.1,1.1,4.9
DR Congo,0.0,0.1,0.9,2.5
South Africa,0.0,0.0,0.0,0.3
Panama,0.0,0.0,0.1,2.7
Bosnia and Herzegovina,0.0,0.0,0.0,1.4
Cape Verde,0.0,0.0,0.1,0.6
Saudi Arabia,0.0,0.0,0.0,0.2
Sweden,0.0,0.0,0.2,1.4
Qatar,0.0,0.0,0.0,0.5
Tunisia,0.0,0.1,0.4,1.8
Haiti,0.0,0.0,0.0,0.1
