date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_ranking_date,home_rank,home_ranking_points,away_ranking_date,away_rank,away_ranking_points,rank_diff,points_diff,home_win,draw
2021-01-12,United Arab Emirates,Iraq,0,0,Friendly,Dubai,United Arab Emirates,False,,,,,,,,,0,1
2021-01-27,Iraq,Kuwait,2,1,Friendly,Basra,Iraq,False,,,,,,,,,1,0
2021-01-28,Panama,Serbia,0,0,Friendly,Panama City,Panama,False,,,,,,,,,0,1
2021-01-31,United States,Trinidad and Tobago,7,0,Friendly,Orlando,United States,False,,,,,,,,,1,0
2021-02-01,Jordan,Tajikistan,2,0,Friendly,Dubai,United Arab Emirates,True,,,,,,,,,1,0
2021-02-05,Jordan,Tajikistan,0,1,Friendly,Dubai,United Arab Emirates,True,,,,,,,,,0,0
2021-02-15,Jordan,Uzbekistan,0,2,Friendly,Dubai,United Arab Emirates,True,,,,,,,,,0,0
2021-03-20,Oman,Jordan,0,0,Friendly,Dubai,United Arab Emirates,True,2021-02-18,81,1303.0,2021-02-18,95,1243.0,14,60.0,0,1
2021-03-24,Belgium,Wales,3,1,FIFA World Cup qualification,Leuven,Belgium,False,2021-02-18,1,1780.0,2021-02-18,18,1562.0,17,218.0,1,0
2021-03-24,Estonia,Czech Republic,2,6,FIFA World Cup qualification,Lublin,Poland,True,2021-02-18,108,1180.0,2021-02-18,42,1456.0,-66,-276.0,0,0
2021-03-24,Finland,Bosnia and Herzegovina,2,2,FIFA World Cup qualification,Helsinki,Finland,False,2021-02-18,55,1411.0,2021-02-18,56,1410.0,1,1.0,0,1
2021-03-24,France,Ukraine,1,1,FIFA World Cup qualification,Paris,France,False,2021-02-18,2,1755.0,2021-02-18,24,1521.0,22,234.0,0,1
2021-03-24,Gibraltar,Norway,0,3,FIFA World Cup qualification,Gibraltar,Gibraltar,False,2021-02-18,195,888.0,2021-02-18,44,1450.0,-151,-562.0,0,0
2021-03-24,Jordan,Lebanon,1,0,Friendly,Dubai,United Arab Emirates,True,2021-02-18,95.0,1243.0,2021-02-18,92,1263.0,-3.0,-20.0,1,0
