ranking_date,team,rank,ranking_points
2021-02-18,Belgium,1,1780.0
2021-02-18,France,2,1755.0
2021-02-18,Brazil,3,1743.0
2021-02-18,England,4,1670.0
2021-02-18,Portugal,5,1662.0
2021-02-18,Spain,6,1645.0
2021-02-18,Argentina,7,1642.0
2021-02-18,Uruguay,8,1639.0
2021-02-18,Mexico,9,1632.0
2021-02-18,Croatia,11,1617.0
2021-02-18,Germany,13,1610.0
2021-02-18,Netherlands,14,1609.0
2021-02-18,Colombia,15,1601.0
2021-02-18,Switzerland,16,1593.0
2021-02-18,Senegal,20,1558.0
2021-02-18,Sweden,20,1558.0
2021-02-18,USA,22,1548.0
2021-02-18,Austria,23,1531.0
2021-02-18,Tunisia,26,1503.0
2021-02-18,Japan,27,1502.0
2021-02-18,IR Iran,29,1496.0
2021-02-18,Algeria,31,1488.0
2021-02-18,Türkiye,32,1487.0
2021-02-18,Morocco,33,1481.0
2021-02-18,Paraguay,35,1476.0
2021-02-18,Korea Republic,38,1465.0
2021-02-18,Australia,41,1457.0
2021-02-18,Czechia,42,1456.0
2021-02-18,Norway,44,1450.0
2021-02-18,Scotland,48,1436.0
2021-02-18,Egypt,49,1432.0
2021-02-18,Ghana,52,1424.0
2021-02-18,Bosnia and Herzegovina,56,1410.0
2021-02-18,Ecuador,57,1409.0
2021-02-18,Qatar,58,1391.0
2021-02-18,Congo DR,60,1386.0
2021-02-18,Côte d'Ivoire,61,1384.0
2021-02-18,Saudi Arabia,67,1353.0
2021-02-18,Iraq,69,1348.0
2021-02-18,South Africa,71,1341.0
2021-02-18,Canada,73,1332.0
2021-02-18,Curaçao,76,1313.0
2021-02-18,Panama,78,1312.0
2021-02-18,Cabo Verde,80,1306.0
2021-02-18,Haiti,84,1285.0
2021-02-18,Uzbekistan,85,1283.0
2021-02-18,Jordan,95,1243.0
2021-02-18,New Zealand,118,1149.0
2021-04-07,Belgium,1,1783.38
2021-04-07,France,2,1757.3
2021-04-07,Brazil,3,1742.65
2021-04-07,England,4,1686.78
2021-04-07,Portugal,5,1666.12
2021-04-07,Spain,6,1648.13
2021-04-07,Argentina,8,1641.95
2021-04-07,Uruguay,9,1639.08
2021-04-07,Mexico,11,1629.56
2021-04-07,Germany,12,1609.12
2021-04-07,Switzerland,13,1606.21
2021-04-07,Croatia,14,1605.75
